"ID","GSM30361","GSM30362","GSM30363","GSM30364","GSM30365","GSM30366","GSM30367","GSM30368","GSM30369","GSM30370","GSM30371","GSM30372","GSM30373","GSM30374"
"220829_s_at",22.4,11.8,5.2,10,18.1,5.9,175,19.1,12.2,5.9,4,21.3,13.2,3.9
"220830_at",113.9,107.2,70.5,108.6,150.2,68.7,271.3,93.3,95.3,81.6,58.6,44.5,33.2,48.7
"220831_at",206.6,118.3,89.2,116.2,146.4,158.8,418.7,145.6,128,86.7,96.2,161.3,97,100.9
"220832_at",336,532.1,729.7,544.6,216.7,356.3,106.2,728.2,243.3,166.6,474.1,965.9,235.3,313.7
"220833_at",94.9,67.5,62.9,88.2,126.9,112.4,353.4,75.8,76.5,118.5,39.7,105.6,53,21.8
"220844_at",19.1,41.7,55.9,31,117.2,159,50.2,32.9,53.4,51,6.7,70.6,37.9,34.8
"220847_x_at",12.6,13.4,10.7,41.8,11.4,20.4,35.1,22.2,13.9,15.2,8.6,16.6,19,15.9
"220848_x_at",21.9,13.7,17.5,19.2,22.1,28.4,41.6,29.6,20.8,26.6,16.9,24.5,14.1,16.7
"220850_at",3.7,1.2,3.7,2.3,4.5,6.2,168.3,4.4,5,2.3,5.4,15.3,1.3,3
"220860_at",73.8,18.5,65,75.4,11.3,17.8,14.2,9.9,47.8,41.6,23.9,76.5,34,33.9
"220863_at",152.1,94.6,76,134.3,80.7,24.7,15,208.8,103,93.4,105.5,157.8,112.5,76.9
"220865_s_at",214.2,319.6,267.9,376.2,246.7,258.1,277.4,145.8,298.2,193.3,251.2,367.4,260.7,289
"220866_at",124.5,101.2,114.4,102.8,46.3,87.1,17.8,94.1,119.7,162.2,85.1,131,47.1,220.7
"220867_s_at",258.1,125.4,168.6,138.6,265.9,351.1,544.2,305.3,112.1,119.8,156.7,138.5,141.2,127.2
"220886_at",122.1,34,99.3,66.2,39.3,71.3,130.1,143.1,98.7,96.9,82.8,104.1,32.8,63.4
"220887_at",104.7,164.2,203.9,198.3,166,132.3,218.4,272.2,230.5,227.8,157.3,200.1,127.5,142
"220888_s_at",30.5,47.9,31.6,31.8,49.4,28.3,23.8,58.2,38,18.7,16.8,135.7,9.2,77.7
"220889_s_at",11.7,28.1,37,16.9,94.3,75.7,6.1,8.7,65.5,20.6,11.6,36.1,25.4,10.4
