,GSM30361,GSM30362,GSM30363,GSM30364,GSM30365,GSM30366,GSM30367,GSM30368,GSM30369,GSM30370,GSM30371,GSM30372,GSM30373,GSM30374,ID,Gene Symbol
3181,205846_at,0.0007947572660350049,0.0006300273192880691,0.0002915803655814515,0.0007823501799405413,0.00012425998739648697,0.00017700153333899738,0.0003903665160740554,0.0003017032235589783,0.00107909184318345,0.0003572548882924959,0.00024220894558372357,6.316549359321422e-05,0.00010507866188628809,0.00019382349140715857,ZNF197
3182,205847_at,0.008573610506779857,0.008184923880751035,0.009184781515815721,0.010435871095902527,0.005795840840707571,0.0016122311093849245,0.002062005708600237,0.0013063438545852669,0.007016246566037412,0.003986441741312606,0.009430001614726303,0.003934307886663057,0.006203844197766448,0.012856958263341519,SLC18A2
3183,205848_at,0.002650670881692167,0.002536403087133864,0.001357356874258481,0.0043131305572374195,0.0012625702290821625,0.0004126664320132054,0.0005787489637265177,0.0008926683006332657,0.001534803936320684,0.0011850406050677913,0.0012164271489315895,0.0010805811225410575,0.001479507559358936,0.0014859801007882157,NGFR
3184,205850_s_at,0.00020423929741681686,0.0002987198496624465,0.0014528745802248185,0.002068125693060214,0.0007810627779207752,0.000524935976016798,0.00019382309596011461,0.000427672095251129,0.001999114370837866,0.000762434212819351,0.0016147263038914905,0.001069301570113698,0.00037828318279063705,0.0015975754443256706,LY86
3185,205851_at,0.009199648353209666,0.009689385669050992,0.009169699772768405,0.011109372555155688,0.005857970834405815,0.002389014981409782,0.0007712118976097192,0.001758898689923734,0.009617244833471626,0.004785908473040327,0.00941923677270036,0.004787042050171449,0.005316980291446177,0.013185870854820333,SPIB
3186,205852_at,0.00016871941960519654,0.0005594208093678543,0.0004273160530072996,0.00045580401787840235,0.0005125724480105089,0.0003550145040113605,0.0005372640203806686,0.000133744727969444,0.00027514692415832987,0.0003049736851277404,0.0020399375639162495,0.00033161884136437465,0.0007313474867285651,0.0010102315309706447,S100A12
3187,205853_at,0.0012653956470389742,0.0014012676584165675,0.001553419533873595,0.001959276972372834,0.0003505906787258026,0.00039547199734598845,0.0003720043280357288,0.00036857558754370027,0.0018142500311689876,0.0005424174828343383,0.0015124603046450294,0.001486645009926006,0.002996843436996936,0.010260898166312303,ARID3A
3188,205854_at,0.0056432205873211795,0.008364155790548503,0.013850067365118946,0.013456423094977313,0.005147913763568746,0.001035711829366476,0.0025605051097888827,0.002454060241113751,0.00899386508342541,0.004169425952389251,0.006216696269982239,0.003532755820249053,0.006187031611864642,0.006660479977445994,FCN3
3189,205855_at,0.0061271789225045056,0.004795811404580732,0.007887751613746507,0.013095861707700366,0.003963006026609389,0.002011748856064376,0.0002489096600750946,0.0036468765940505365,0.0071753158815664455,0.0032414345962148406,0.009408471930674418,0.00432232449016423,0.005539747054645107,0.010348999753315557,PTPN11
3190,205857_at,0.0038095068952962805,0.00405715868541541,0.0030264031048281696,0.003299476845836196,0.00284244721169464,0.0011156153787023663,0.0011207735513763823,0.000730930490065566,0.002085097784637344,0.000433498309574431,0.0034716615533667045,0.0003609456776755098,0.003303673129704897,0.0054622983942017415,PRSS1  PRSS2
3191,205858_at,0.002082352836706242,0.0008201217690732624,0.0006334332079872912,0.001034062846530107,0.0010495531078310418,0.0005947251520190312,0.0003502417348051194,0.00019439640693233134,0.00038262619140767753,0.00032240075284932555,0.0013940470423596536,0.00012407507670095653,0.000899473345746626,0.0011453206310423005,BDKRB2
3192,205859_at,0.058523438679370945,0.08167543816770674,0.09906191558245693,0.14925200519752643,0.039758758110183104,0.018984678747274174,0.00378261073589529,0.01615978451547084,0.09044165380498104,0.027898557038792654,0.05184886161795576,0.010900559465800397,0.04586893748660248,0.0226362344207027,PLGLB1  PLGLB2
3193,205861_at,0.017284860540079744,0.02113850281611349,0.02348730117235416,0.02209629029953807,0.005021434847825894,0.0027278464880872914,0.0018539009108325352,0.0024711671249237964,0.00869722230581721,0.004644313547802447,0.004052963022767641,0.0005662335318534561,0.0034760021351984095,0.0011805612658436022,PIGL
3194,205863_at,0.13822116451919406,0.10502446787132234,0.1481781254398842,0.23854197138639255,0.16238339531539847,0.10115688202190369,0.15243880460795708,0.6118992373440163,0.3677897533565776,0.24910904116273394,0.8230636740405834,0.9159583107742285,0.20113316828978176,0.8646231014108001,ITPKA
3195,205865_at,0.01006544537486791,0.013187123545098548,0.017132860101751496,0.02341608103787255,0.008127934532738067,0.002655023000084961,0.0008684634861090048,0.004379362255371561,0.012514885878514037,0.009556568261824265,0.018870768071478552,0.009161252481501535,0.008826607598448197,0.043387094879535765,LIFR
3196,205866_at,0.003867226696740163,0.004991337124359789,0.004715558326127613,0.0031838250801058555,0.0019925976550365233,0.0014989501280479663,0.000215585689190724,0.000984423404705326,0.0028288543140028294,0.0009693806420131748,0.006135959954787664,0.0026958130301389643,0.0007481600726303711,0.006161237651094222,POU6F1
3197,205868_s_at,0.000919076838375676,0.004958749504396612,0.007611252991212372,0.001421836413978897,0.0003528096070721684,0.0008587102960274787,0.00026931209122879086,0.0002690446271943466,0.00042131872761744265,0.0002722979331497682,0.0003713870498950428,0.000390272513986645,0.00047495555172602207,0.0007518002090944331,PRKD1
3198,205869_at,0.0005283581824478523,0.0007440839891591849,0.002036035311387722,0.0006598953691672393,0.0007100570708370685,0.00010721235733676413,0.0001455373422297001,0.00012752404294760937,0.0032415747002403237,0.00029408176780174966,0.000516712417245277,0.00021205558563436202,0.0005842373600877617,0.0018207661314005804,ZNF74
3199,205870_at,0.0010922362427073253,0.004084315035384724,0.0027649862253413507,0.0017007612607403075,0.0004926020928932163,0.0006776630133550186,0.0002285072289213983,0.0005132065143013549,0.0024548264639750995,0.0014704088390087482,0.0007696862048549438,0.0028943331528604945,0.0009162859316484321,0.0018031458139999297,ZBTB16
3200,205871_at,0.002126752683970767,0.0029328857966858385,0.004333487502262263,0.0036328260529412968,0.0025162647447788612,0.001226873485372593,0.0017348867291026404,0.000993754432238078,0.002067901101877448,0.001076121431807884,0.0009096291511922063,0.0011053961378812488,0.0030136560228987428,0.001944108353205136,REG1B
3201,205873_at,0.016756502357631892,0.010699601887909449,0.01345291479820628,0.022001047668936614,0.0048927370037366745,0.0020107374187310102,0.0017212851083335094,0.0020761536260372987,0.010657644140445309,0.003215293994632463,0.009462296140804132,0.0036432954340371772,0.006027312045797484,0.013538277202833349,GABBR1  UBD
